Scrip Code,COMPANY,ISIN No.,Close Price
532921,ADANI PORTS AND SPECIAL ECONOM,INE742F01042,1828
500820,ASIAN PAINTS LTD.,INE021A01026,2677.8
532215,AXIS BANK LTD.,INE238A01034,1323.75
500034,BAJAJ FINANCE LIMITED,INE296A01032,1020.45
532978,BAJAJ FINSERV LTD.,INE918I01026,1915.55
500049,BHARAT ELECTRONICS LTD.,INE263A01024,414.9
532454,BHARTI AIRTEL LTD.,INE397D01024,1921.1
543320,Eternal Limited,INE758T01015,289.65
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1162.65
500180,HDFC BANK LTD.,INE040A01034,824.25
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2149.3
532174,ICICI BANK LTD.,INE090A01021,1401.45
500209,INFOSYS LTD.,INE009A01021,1068.05
539448,InterGlobe Aviation Limited,INE646L01027,5311.05
500875,ITC LTD.,INE154A01025,281.9
500247,KOTAK MAHINDRA BANK LTD.,INE237A01036,377.8
500510,LARSEN & TOUBRO LTD.,INE018A01030,3946.55
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3129.15
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,13859.25
532555,NTPC LTD.,INE733E01010,344.5
532898,POWER GRID CORPORATION OF INDI,INE752E01010,283.2
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1308.85
500112,STATE BANK OF INDIA,INE062A01020,1036.15
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1935.25
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,2069.05
500470,TATA STEEL LTD.,INE081A01020,191.15
532755,TECH MAHINDRA LTD.,INE669C01036,1455.45
500114,TITAN COMPANY LIMITED,INE280A01028,4586.1
500251,TRENT LTD.,INE849A01020,2902.75
532538,ULTRATECH CEMENT LTD.,INE481G01011,11713.55
